local_date,label,country
2017-01-02,Public Holiday,botswana
2017-04-14,Good Friday,botswana
2017-04-15,Public Holiday,botswana
2017-04-17,Easter Monday,botswana
2017-05-01,May Day/Labour Day,botswana
2017-05-25,Ascension Day,botswana
2017-07-01,Sir Seretse Khama Day,botswana
2017-07-17,President's Day,botswana
2017-07-18,Public Holiday,botswana
2017-09-30,Botswana Day,botswana
2017-10-02,Public Holiday,botswana
2017-12-25,Christmas Day,botswana
2017-12-26,Boxing Day,botswana
2017-01-01,New Year,botswana
2017-01-02,Public Holiday,uganda
2017-04-14,Good Friday,uganda
2017-04-17,Easter Monday,uganda
2017-05-25,Ascension Day,uganda
2017-12-25,Christmas Day,uganda
2017-12-26,Boxing Day,uganda
2017-01-01,New Year,uganda
2017-01-02,Public Holiday,malawi
2017-04-14,Good Friday,malawi
2017-04-17,Easter Monday,malawi
2017-05-25,Ascension Day,malawi
2017-12-25,Christmas Day,malawi
2017-12-26,Boxing Day,malawi
2017-01-01,New Year,malawi
2017-01-02,Public Holiday,south_africa
2017-04-14,Good Friday,south_africa
2017-04-17,Easter Monday,south_africa
2017-05-25,Ascension Day,south_africa
2017-12-25,Christmas Day,south_africa
2017-12-26,Boxing Day,south_africa
2017-01-01,New Year,south_africa
2017-01-02,Public Holiday,zimbabwe
2017-04-14,Good Friday,zimbabwe
2017-04-17,Easter Monday,zimbabwe
2017-05-25,Ascension Day,zimbabwe
2017-12-25,Christmas Day,zimbabwe
2017-12-26,Boxing Day,zimbabwe
2017-01-01,New Year,zimbabwe
